"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
141561	"RHODES FESTIVAL HOTEL"	""
7284	"SANDTON SUN"	""
30493	"SCHMIDTSDRIF"	""
326381	"SEKOMA"	""
33724	"SPIER"	""
7283	"SUN CITY"	""
302500	"TETE"	""
328159	"THE RIDGE"	""
121553	"TYGERBERG HOSPITAL"	""
51592	"UMTATA ( SHELL ULTRA CITY)"	""
328160	"WATERFALL"	""
312019	"WHITTELSEA"	""
326140	"ZOBUE"	""
278957	"ZOBUE BORDER POST"	""
315747	"ZOMBA"	""
337130	"BARRYDALE"	""
340739	"BULWER"	""
337132	"CALITZDORP"	""
335904	"DORDRECHT"	""
340742	"FRANKLIN"	""
335905	"INDWE"	""
337283	"KHOWA"	""
337131	"LADISMITH (WC)"	""
335906	"LIBODE"	""
335568	"MACHADO (MP)"	""
335903	"MOLTENO"	""
337129	"MONTAGU"	""
337439	"MOOI RIVIER"	""
335567	"NGODWANA"	""
337599	"QUEENSTOWN SHELL ULTRA CITY"	""
335902	"STEYNSBURG"	""
340741	"SWARTBERG"	""
334779	"BITTERFONTEIN"	""
240680	"CALA"	""
334782	"COLCHESTER"	""
320330	"EAST LONDON WINDMILL"	""
329979	"ELLIOT"	""
315501	"HEIDELBERG MALL"	""
334783	"KAMIESKROON"	""
329980	"LADY FRERE"	""
331420	"M R V ADMIN"	""
331421	"M R V CIRCLE"	""
331422	"M R V HEIGHTS"	""
268424	"MARGATE RETIREMENT VILLAGE"	""
329981	"MOUNT FLETCHER"	""
334799	"NUWERUS"	""
334040	"NWAMATATANE"	""
329439	"P E WINDFARM"	""
334800	"PATTERSON"	""
331423	"RAMSGATE - BP GARAGE"	""
331424	"RAMSGATE - TOTAL GARAGE"	""
334982	"WESTONARIA"	""
331340	"WIDENHAM RETIREMENT VILLAGE"	""
410280	"UNDERBERG"	""
240679	"BURGERSDORP"	""
336079	"HERCHEL"	""
272278	"MASIA"	""
272280	"NKUZANA"	""
272281	"NWAXINYAMANI"	""
573103	"OGONGO CAMPUS"	""
240687	"VENTERSTAD"	""
723425	"BIRCHNOUGH"	""
11073	"ABERDEEN"	"ZAZAABERDEEN"
7259	"AMANZIMTOTI"	"ZAZAAMANZIMTOTI"
6943	"ASHTON"	"ZAZAASHTON"
39339	"ALICE"	"ZAZAALICE"
240677	"ADELAIDE"	"ZAZAADELAIDE"
121563	"ALBERTINIA"	"ZAZAALBERTINIA"
217757	"ACORNHOEK"	"ZAZAACORNHOEK"
